名词,子类别,解释,瞎掰建议,难度
超导临界温度,科技术语,材料进入超导状态的最高温度阈值,人体可以承受的最高发烧温度,5
量子纠缠,科技术语,两个粒子状态彼此关联，即便远隔空间,情侣心灵感应的科学依据,5
液体活检,科技术语,通过血液检测肿瘤DNA的新型技术,检查体内含水量的手段,5
区块链共识机制,科技术语,保证去中心化网络一致性的算法机制,网民投票选热门帖子的标准,5
灰犀牛,社会术语,大概率且影响巨大的风险事件,基因突变导致皮肤灰化的人种,4
硅光芯片,科技术语,利用硅材料制造可集成光路的芯片,太阳能转电能的替代材料,5
镜像自我,心理学术语,他人对我们的看法影响我们对自己的认知,双胞胎间的感知错觉,4
异位妊娠,医学术语,胚胎着床在子宫外的妊娠异常,双胞胎中一个被遗忘在体外,4
失认症,神经病学,患者感官无损但无法识别熟悉对象,看见前任照片就自动模糊的情感反应,5
冷刀,医学术语,非热能切割器械，常用于肿瘤手术,外科医生专用寒冰镰刀,4
洗钱,法律术语,掩盖非法资金来源的财务操作,把脏钞票用洗衣机洗干净,4
信息茧房,社会术语,个体被同质信息包围，难接触多元观点,社交平台自动屏蔽你不喜欢的朋友,4
大数据杀熟,商业术语,商家利用大数据对熟客涨价,亲戚来买东西反而卖得更贵,4
长尾效应,经济学术语,冷门产品累计销量可与热门产品匹敌,打广告时间越久收益越低的曲线,4
逆选择,保险术语,高风险者更倾向投保而非低风险者,买保险的人越幸运越不赔钱,4
有限合伙人,法律术语,投资但不参与管理的合伙企业成员,投钱但不能说话的合伙人,4
仿生皮肤,科技术语,模拟人体皮肤功能的合成材料,给机器人穿的防晒霜,4
裸眼3D,科技术语,无需佩戴眼镜即可观看立体影像的技术,特异功能者才能看到的立体画面,4
碳足迹,环保术语,个人或组织活动所产生的温室气体排放总量,在泥地中走路留下的深浅脚印,4
脑机接口,前沿科技,人脑与外部设备直接通信的技术,用脑电波控制咖啡机,5
低轨卫星,航天术语,轨道较近地球、用于通信的卫星,拍网红照用的宇宙自拍杆,5
电子木鱼,网络文化,模仿敲木鱼声音的减压App或网站,僧人用电子鼓替代木鱼念经,4
社恐打工人,网络文化,指社交焦虑但仍需工作的普通人,办公室里负责躲避人群的岗位,3
斜杠青年,社会术语,拥有多重职业/身份的年轻人,只能做兼职不做正职的人,4
宽带比邻,城市规划,住宅共享高速网络资源的社区设计模式,邻居家蹭网神器,4
算法偏见,科技伦理,算法模型中潜在的歧视性或不公行为,AI有了情绪开始区别对待用户,5
